,Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not,1=defaulted
563,1,delay in paying off loans in the past,Purchase of radio/television,6403,none,less than a year,male and single,1,33,between 0 and 200,less than 100,1,none,Yes,No,24,car or other property,skilled employee / official,own,2,1,
564,1,existing loans paid back duly till now,Education Loan,1905,none,,male and single,1,40,greater than 200,less than 100,4,none,Yes,Yes,15,car or other property,management/ self-employed/highly qualified employee/ officer,rent,4,1,
565,1,existing loans paid back duly till now,Purchase of radio/television,1567,none,between 1 and 4 years,female and divorced/seperated/married,1,22,between 0 and 200,less than 100,1,none,Yes,Yes,12,car or other property,skilled employee / official,own,1,1,
566,1,existing loans paid back duly till now,New Car Purchase,909,none,,male and single,1,36,no current account,between 500 and 1000,4,none,Yes,No,36,building society savings agreement/life insurance,skilled employee / official,own,4,1,
567,1,existing loans paid back duly till now,Loan for retraining,902,none,greater than 4 years,male and married/widowed,1,21,less than 0,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,rent,4,2,
568,1,existing loans paid back duly till now,Purchase of radio/television,1092,gaurantor,between 1 and 4 years,female and divorced/seperated/married,2,49,between 0 and 200,less than 100,4,none,Yes,Yes,12,Real Estate,skilled employee / official,own,4,1,
569,1,existing loans paid back duly till now,Purchase of furniture/equipment,2186,none,greater than 4 years,female and divorced/seperated/married,1,33,no current account,no savings account,1,bank,Yes,No,15,Real Estate,unskilled - resident,rent,4,1,
570,1,existing loans paid back duly till now,Loan for retraining,937,none,less than a year,male and married/widowed,2,27,no current account,less than 100,4,none,Yes,No,24,car or other property,unskilled - resident,own,3,1,
571,1,critical account/other loans existing (not at this bank),Purchase of radio/television,2520,none,between 1 and 4 years,male and single,2,23,between 0 and 200,between 500 and 1000,4,none,Yes,No,27,building society savings agreement/life insurance,unskilled - resident,own,2,2,
572,1,critical account/other loans existing (not at this bank),Education Loan,2748,none,,female and divorced/seperated/married,3,57,no current account,less than 100,2,bank,Yes,No,12,No property,unskilled - resident,for free,4,1,
573,1,existing loans paid back duly till now,Old Car Repair,9277,none,between 1 and 4 years,male and divorced/seperated,1,48,no current account,no savings account,2,none,Yes,Yes,24,No property,skilled employee / official,for free,4,1,
574,1,existing loans paid back duly till now,,5381,none,unemployed,male and single,1,40,between 0 and 200,no savings account,3,bank,Yes,Yes,48,No property,unemployed/ unskilled - non-resident,for free,4,1,
575,1,existing loans paid back duly till now,Purchase of radio/television,3235,none,,male and divorced/seperated,1,26,no current account,between 500 and 1000,3,none,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
576,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1291,none,between 1 and 4 years,female and divorced/seperated/married,2,35,no current account,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,2,1,
577,1,existing loans paid back duly till now,New Car Purchase,1403,none,between 1 and 4 years,female and divorced/seperated/married,1,28,less than 0,less than 100,2,none,Yes,No,15,car or other property,skilled employee / official,rent,4,1,
578,1,existing loans paid back duly till now,Purchase of furniture/equipment,4057,none,greater than 4 years,male and divorced/seperated,1,43,between 0 and 200,less than 100,3,none,Yes,Yes,24,car or other property,skilled employee / official,own,3,2,
579,1,existing loans paid back duly till now,Purchase of radio/television,1867,none,,male and single,1,58,no current account,no savings account,4,none,Yes,Yes,30,car or other property,skilled employee / official,own,4,1,
580,1,no loans taken/all loans paid back duly,Purchase of furniture/equipment,2969,none,less than a year,female and divorced/seperated/married,2,25,between 0 and 200,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,rent,3,2,
581,1,critical account/other loans existing (not at this bank),Education Loan,5743,none,less than a year,female and divorced/seperated/married,2,24,between 0 and 200,less than 100,2,none,Yes,Yes,24,No property,skilled employee / official,for free,4,1,
582,2,delay in paying off loans in the past,Loan for business establishment,2375,none,between 1 and 4 years,male and single,2,44,no current account,between 500 and 1000,4,none,Yes,Yes,24,car or other property,skilled employee / official,own,2,1,
583,1,existing loans paid back duly till now,Purchase of furniture/equipment,1747,co-applicant,less than a year,male and single,1,24,less than 0,less than 100,4,none,No,No,24,building society savings agreement/life insurance,unskilled - resident,own,1,1,
584,1,delay in paying off loans in the past,Purchase of radio/television,4463,none,between 1 and 4 years,male and single,2,26,no current account,less than 100,4,none,Yes,Yes,36,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,2,
585,1,delay in paying off loans in the past,Purchase of furniture/equipment,1808,none,greater than 4 years,female and divorced/seperated/married,1,22,no current account,less than 100,4,none,Yes,No,18,Real Estate,skilled employee / official,own,1,2,
586,1,existing loans paid back duly till now,Purchase of radio/television,1882,none,between 1 and 4 years,female and divorced/seperated/married,2,25,less than 0,less than 100,4,bank,Yes,No,18,car or other property,skilled employee / official,rent,4,2,
587,1,existing loans paid back duly till now,Purchase of radio/television,745,none,between 1 and 4 years,female and divorced/seperated/married,1,28,greater than 200,less than 100,3,none,Yes,No,9,Real Estate,unskilled - resident,own,2,2,
588,1,existing loans paid back duly till now,New Car Purchase,1223,none,,male and divorced/seperated,2,46,between 0 and 200,less than 100,1,none,Yes,No,12,Real Estate,skilled employee / official,rent,1,2,
589,1,no loans taken/all loans paid back duly,Loan for business establishment,12204,none,between 1 and 4 years,male and single,1,48,between 0 and 200,no savings account,2,bank,Yes,Yes,48,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
590,2,delay in paying off loans in the past,New Car Purchase,10875,none,,male and single,2,45,no current account,less than 100,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,2,1,
591,1,existing loans paid back duly till now,Purchase of radio/television,1473,none,less than a year,male and married/widowed,1,39,no current account,less than 100,3,none,Yes,Yes,18,Real Estate,skilled employee / official,own,4,1,
592,1,existing loans paid back duly till now,Purchase of radio/television,2073,co-applicant,between 1 and 4 years,female and divorced/seperated/married,1,28,no current account,between 100 and 500,4,none,Yes,No,12,Real Estate,skilled employee / official,own,2,1,
593,1,all loans at this bank paid back duly,,14782,none,,female and divorced/seperated/married,2,60,between 0 and 200,between 100 and 500,3,bank,Yes,Yes,60,No property,management/ self-employed/highly qualified employee/ officer,for free,4,2,
594,1,existing loans paid back duly till now,Purchase of furniture/equipment,3062,none,,male and single,1,32,no current account,between 500 and 1000,4,none,Yes,Yes,24,No property,skilled employee / official,rent,3,1,
595,1,delay in paying off loans in the past,Purchase of radio/television,15653,none,greater than 4 years,male and single,2,21,no current account,less than 100,2,none,Yes,Yes,60,car or other property,skilled employee / official,own,4,1,
596,1,critical account/other loans existing (not at this bank),New Car Purchase,1255,none,,male and single,2,61,no current account,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,4,1,
597,1,existing loans paid back duly till now,Purchase of radio/television,3835,none,,female and divorced/seperated/married,1,45,no current account,no savings account,2,none,Yes,Yes,36,Real Estate,unskilled - resident,own,4,1,
598,2,existing loans paid back duly till now,Purchase of radio/television,802,none,,male and single,1,37,between 0 and 200,less than 100,4,none,Yes,No,15,car or other property,skilled employee / official,own,3,2,
599,2,existing loans paid back duly till now,New Car Purchase,1597,none,between 1 and 4 years,male and single,1,40,no current account,between 500 and 1000,3,none,No,No,10,No property,unskilled - resident,rent,2,1,
